TotalArea;Count
3.1;44
2.9;44
2.6;43
3.0;42
2.7;40
2.5;40
2.1;34
2.0;33
2.3;33
3.5;33
2.8;31
3.4;29
4.1;28
2.2;28
2.4;28
3.3;27
1.9;24
3.8;22
3.6;22
3.7;20
1.8;20
3.2;19
4.0;19
3.9;18
1.7;17
4.4;16
1.3;14
4.2;13
4.3;12
5.3;12
4.6;12
1.2;12
1.4;11
4.5;11
4.9;11
5.4;10
4.7;10
1.5;8
4.8;8
1.6;7
6.2;6
6.4;5
5.9;5
5.0;5
5.1;5
5.5;5
6.1;4
5.6;4
1.1;4
0.8;3
6.5;3
5.7;3
5.8;3
6.8;3
6.0;3
1.0;3
6.6;3
9.2;2
6.7;2
7.7;2
5.2;2
6.3;2
10.9;1
9.5;1
9.6;1
8.9;1
8.5;1
8.3;1
7.8;1
0.6;1
7.6;1
7.5;1
7.4;1
7.3;1
7.1;1
7.0;1
6.9;1
0.7;1
0.9;1
12.7;1
